APVA Trajectory Study v0.1 - 6E
===============================
Instrument: 6E
Input: C:\Users\rz0\Documents\ApvaAnalysis\Evidence\6E\6E_JUN26_5_Minute_CME_FX_Futures_ETH_20251130_20260531_apva_bar_evidence_v01.csv
Total rows: 35260
Valid polarity rows: 31107
Family counts: {'A': 181, 'B': 3069, 'C': 5456, 'D': 6497, 'N': 20057}
Total path windows by length: {3: 35258, 4: 35257, 5: 35256}
Study 30 family precedence reused exactly: A, then B, then C, then D, then N.

Section 1 - Family Path Tables
==============================
Path                               Len    Count   Frequency    Expected       OER
Destructive->Destructive->Destructive->Destructive->Neutral   5      139    0.5248   46.28%   49.59%
Neutral->Neutral->Destructive->Constructive->Destructive     5      138    1.1421   49.64%   43.07%
Destructive->Neutral->Constructive->Neutral->Neutral         5      137    0.6757   51.82%   41.82%
Constructive->Destructive->Neutral->Destructive->Neutral     5      136    1.1255   50.00%   41.67%
Neutral->Neutral->Constructive->Destructive->Neutral         5      136    0.6707   47.71%   46.79%
Neutral->Constructive->Destructive->Neutral->Neutral         5      133    0.6560   46.23%   48.11%
Constructive->Destructive->Neutral->Neutral->Destructive     5      128    1.0593   44.53%   50.78%
Neutral->Neutral->Neutral->Constructive->Destructive         5      122    0.6017   49.18%   46.72%
Destructive->Neutral->Neutral->Constructive->Neutral         5      121    0.5968   39.39%   56.57%
Constructive->Neutral->Destructive->Neutral->Destructive     5      118    0.9765   45.69%   50.86%
Destructive->Neutral->Destructive->Neutral->Constructive     5      113    0.9352   49.46%   45.16%
Destructive->Neutral->Neutral->Neutral->Constructive         5      110    0.5425   51.04%   40.62%
Neutral->Destructive->Destructive->Constructive->Destructive   5      110    1.5275   29.63%   67.59%
Neutral->Neutral->Constructive->Neutral->Destructive         5      110    0.5425   43.52%   53.70%
Destructive->Neutral->Constructive->Neutral->Destructive     5      109    0.9021   52.29%   44.95%
Neutral->Constructive->Neutral->Neutral->Destructive         5      109    0.5376   38.68%   58.49%
Destructive->Neutral->Destructive->Destructive->Constructive   5      108    1.4998   46.24%   50.54%
Constructive->Neutral->Neutral->Destructive->Destructive     5      105    0.8690   46.67%   49.52%
Destructive->Constructive->Destructive->Neutral->Destructive   5       98    1.3609   42.86%   51.02%
Destructive->Neutral->Destructive->Constructive->Destructive   5       97    1.3470   40.43%   56.38%
Destructive->Destructive->Destructive->Destructive->Destructive   5       93    0.5892   44.09%   50.54%
Destructive->Neutral->Neutral->Constructive->Destructive     5       93    0.7696   51.09%   43.48%
Constructive->Destructive->Destructive->Neutral->Neutral     5       91    0.7531   46.67%   46.67%
Destructive->Constructive->Destructive->Destructive->Neutral   5       89    1.2359   57.32%   41.46%
Neutral->Destructive->Neutral->Constructive->Destructive     5       89    0.7365   49.44%   48.31%
Constructive->Neutral->Destructive->Destructive->Neutral     5       88    0.7283   53.25%   45.45%
Destructive->Destructive->Constructive->Destructive->Neutral   5       88    1.2220   60.26%   38.46%
Destructive->Constructive->Neutral->Destructive->Destructive   5       87    1.2081   51.16%   46.51%
Destructive->Destructive->Constructive->Neutral->Destructive   5       85    1.1804   51.76%   44.71%
Neutral->Constructive->Destructive->Neutral->Destructive     5       84    0.6952   50.00%   47.56%
Neutral->Destructive->Destructive->Destructive->Constructive   5       83    1.1526   41.89%   52.70%
Destructive->Neutral->Constructive->Destructive->Neutral     5       82    0.6786   30.88%   63.24%
Destructive->Destructive->Destructive->Constructive->Neutral   5       81    1.1248   52.31%   44.62%
Destructive->Destructive->Neutral->Constructive->Neutral     5       79    0.6538   33.33%   62.12%
Neutral->Destructive->Destructive->Neutral->Constructive     5       77    0.6372   46.88%   48.44%
Destructive->Destructive->Constructive->Destructive->Destructive   5       74    1.7243   43.24%   54.05%
Neutral->Destructive->Constructive->Destructive->Destructive   5       74    1.0276   56.76%   40.54%
Destructive->Destructive->Neutral->Neutral->Constructive     5       69    0.5710   43.14%   49.02%
Neutral->Constructive->Neutral->Destructive->Destructive     5       67    0.5545   37.31%   56.72%
Destructive->Destructive->Neutral->Destructive->Constructive   5       66    0.9165   50.85%   49.15%
Neutral->Neutral->Constructive->Destructive->Destructive     5       66    0.5462   50.00%   46.97%
Destructive->Destructive->Destructive->Constructive->Destructive   5       61    1.4214   32.79%   65.57%
Destructive->Destructive->Destructive->Destructive->Constructive   5       61    1.4214   32.08%   67.92%
Constructive->Destructive->Destructive->Neutral->Destructive   5       60    0.8332   58.33%   40.00%
Constructive->Destructive->Neutral->Destructive->Destructive   5       60    0.8332   40.00%   60.00%
Neutral->Constructive->Destructive->Destructive->Neutral     5       60    0.4965   62.96%   33.33%
Constructive->Constructive->Neutral->Neutral->Neutral        5       58    1.0521   45.45%   50.00%
Destructive->Constructive->Destructive->Destructive->Destructive   5       58    1.3515   49.12%   47.37%
Neutral->Destructive->Constructive->Constructive->Neutral    5       58    1.7654   39.22%   56.86%
Destructive->Constructive->Constructive->Neutral->Neutral    5       53    1.6132   52.08%   39.58%
Constructive->Neutral->Destructive->Destructive->Destructive   5       52    0.7221   46.15%   46.15%
Constructive->Constructive->Neutral->Destructive->Neutral    5       51    1.5523   45.65%   50.00%
Destructive->Destructive->Neutral->Constructive->Destructive   5       51    0.7082   30.43%   60.87%
Destructive->Neutral->Constructive->Destructive->Destructive   5       51    0.7082   31.37%   66.67%
Destructive->Neutral->Destructive->Constructive->Constructive   5       51    2.6047   40.91%   50.00%
Neutral->Neutral->Destructive->Constructive->Constructive    5       51    1.5523   41.03%   53.85%
Constructive->Destructive->Destructive->Destructive->Neutral   5       50    0.6943   34.09%   61.36%
Constructive->Constructive->Destructive->Neutral->Neutral    5       48    1.4610   44.44%   52.78%
Destructive->Constructive->Constructive->Neutral->Destructive   5       47    2.4004   30.43%   67.39%
Neutral->Destructive->Constructive->Destructive->Constructive   5       47    2.4004   58.54%   41.46%
Neutral->Destructive->Destructive->Constructive->Constructive   5       46    2.3494   52.50%   40.00%
Destructive->Constructive->Constructive->Destructive->Neutral   5       45    2.2983   40.54%   51.35%
Destructive->Constructive->Destructive->Constructive->Neutral   5       45    2.2983   48.65%   43.24%
Constructive->Destructive->Constructive->Neutral->Neutral    5       44    1.3392   44.74%   52.63%
Constructive->Constructive->Neutral->Neutral->Destructive    5       43    1.3088   53.49%   37.21%
Constructive->Destructive->Destructive->Destructive->Destructive   5       43    1.0020   48.84%   44.19%
Neutral->Constructive->Destructive->Destructive->Destructive   5       42    0.5832   38.10%   54.76%
Neutral->Destructive->Constructive->Constructive->Destructive   5       41    2.0940   53.66%   46.34%
Neutral->Neutral->Neutral->Constructive->Constructive        5       41    0.7437   40.00%   45.71%
Constructive->Neutral->Neutral->Destructive->Constructive    5       40    1.2175   43.75%   40.62%
Destructive->Destructive->Constructive->Constructive->Neutral   5       39    1.9918   39.39%   57.58%
Destructive->Destructive->Destructive->Neutral->Constructive   5       39    0.5416   47.22%   52.78%
Neutral->Constructive->Constructive->Neutral->Neutral        5       39    0.7074   51.35%   43.24%
Neutral->Neutral->Constructive->Destructive->Constructive    5       39    1.1870   50.00%   43.33%
Constructive->Destructive->Constructive->Destructive->Neutral   5       38    1.9408   51.72%   31.03%
Destructive->Constructive->Neutral->Neutral->Constructive    5       38    1.1566   41.94%   54.84%
Destructive->Destructive->Constructive->Constructive->Destructive   5       38    3.2566   39.47%   60.53%
Destructive->Constructive->Destructive->Constructive->Destructive   5       37    3.1709   56.76%   43.24%
Destructive->Constructive->Constructive->Destructive->Destructive   5       36    3.0852   50.00%   47.22%
Constructive->Constructive->Destructive->Neutral->Destructive   5       35    1.7876   41.18%   55.88%
Constructive->Destructive->Constructive->Neutral->Destructive   5       35    1.7876   50.00%   41.18%
Constructive->Neutral->Destructive->Destructive->Constructive   5       35    1.7876   56.67%   43.33%
Neutral->Neutral->Constructive->Constructive->Neutral        5       35    0.6349   46.67%   46.67%
Destructive->Constructive->Neutral->Destructive->Constructive   5       34    1.7365   59.26%   40.74%
Destructive->Destructive->Constructive->Destructive->Constructive   5       34    2.9138   45.16%   51.61%
Neutral->Constructive->Destructive->Constructive->Neutral    5       34    1.0349   35.71%   57.14%
Destructive->Destructive->Destructive->Constructive->Constructive   5       33    2.8281   46.15%   53.85%
Constructive->Neutral->Neutral->Constructive->Neutral        5       32    0.5804   50.00%   31.82%
Neutral->Destructive->Neutral->Constructive->Constructive    5       32    0.9740   42.31%   46.15%
Constructive->Destructive->Destructive->Constructive->Neutral   5       31    1.5833   44.44%   51.85%
Constructive->Destructive->Destructive->Destructive->Constructive   5       31    2.6567   55.56%   40.74%
Neutral->Neutral->Constructive->Constructive->Destructive    5       31    0.9435   48.39%   48.39%
Constructive->Neutral->Destructive->Constructive->Neutral    5       30    0.9131   51.85%   48.15%
Destructive->Neutral->Neutral->Constructive->Constructive    5       30    0.9131   36.00%   64.00%
Neutral->Constructive->Destructive->Destructive->Constructive   5       30    1.5322   53.57%   42.86%
Constructive->Neutral->Neutral->Neutral->Constructive        5       29    0.5260   62.50%   33.33%
Destructive->Constructive->Destructive->Neutral->Constructive   5       29    1.4811   52.00%   48.00%
Destructive->Neutral->Constructive->Destructive->Constructive   5       29    1.4811   48.00%   44.00%
Neutral->Constructive->Constructive->Destructive->Neutral    5       29    0.8827   44.00%   56.00%
Constructive->Destructive->Neutral->Constructive->Neutral    5       28    0.8522   39.13%   47.83%
Destructive->Constructive->Destructive->Destructive->Constructive   5       28    2.3996   48.00%   52.00%
Neutral->Constructive->Destructive->Constructive->Destructive   5       28    1.4300   42.86%   50.00%
Constructive->Destructive->Constructive->Destructive->Destructive   5       27    2.3139   50.00%   42.31%
Constructive->Neutral->Constructive->Neutral->Destructive    5       27    0.8218   48.15%   48.15%
Constructive->Neutral->Destructive->Constructive->Destructive   5       27    1.3790   55.56%   40.74%
Destructive->Neutral->Constructive->Neutral->Constructive    5       27    0.8218   52.17%   39.13%
