Candidate,ValidationMode,AttributionScope,RegimeCode,RegimeYear,Instrument,Count,Mean,Median,ProfitFactor,SumContribution,PositiveFraction,ContributionShareOfNet,AbsoluteContributionShare,NegativeCell,ContributionRankBestToWorst
CCRRR,Reference,YearAggregate,2023,2023,ES,4,-0.24928263988522226,-1.2058823529411764,0.7739837398373984,-0.997130559540889,0.25,-0.031650413221503776,0.01587520802113909,True,11
CCRRR,Reference,YearAggregate,2016,2016,NQ,2,-0.5082570100042272,-0.5082570100042272,0.0,-1.0165140200084544,0.0,-0.03226567320685975,0.01618381000324443,True,12
CCRRR,Reference,YearAggregate,2016,2016,ES,4,-0.2570707559339525,-0.328125,0.34807499642192646,-1.02828302373581,0.25,-0.03263923896273001,0.016371183041394375,True,13
CCRRR,Reference,YearAggregate,2019,2019,NQ,4,-0.33728849786340714,-0.42891583054626525,0.42340723283470705,-1.3491539914536286,0.25,-0.04282416271406781,0.021479735087788346,True,14
CCRRR,Reference,YearAggregate,2022,2022,NQ,4,-0.37704027105077664,-0.7615571776155718,0.6229597289492234,-1.5081610842031066,0.5,-0.04787128532255365,0.024011269850294045,True,15
CCRRR,Reference,YearAggregate,2021,2021,NQ,4,-0.6046530945934251,-0.6928588207657975,0.37807110270390565,-2.4186123783737004,0.5,-0.07677036920161967,0.038506466642505864,True,16
CCRRR,Reference,YearAggregate,2024,2024,ES,6,-0.48134754063020085,-0.6082465450211413,0.4463550140046681,-2.8880852437812052,0.3333333333333333,-0.09167213912959432,0.0459808934638601,True,17
CCRRR,Reference,YearAggregate,2017,2017,NQ,13,-0.2649742822489356,-0.3442622950819672,0.6780722569708637,-3.4446656692361626,0.38461538461538464,-0.10933883311273807,0.05484215034747205,True,18
CCRRR,Spacing_10,DatasetRegime,CanonicalOriginal,CanonicalOriginal,ES,19,0.7909947642029491,0.1891891891891891,3.122443972284415,15.028900519856034,0.631578947368421,0.6157736628732359,0.2187945181774179,False,1
CCRRR,Spacing_10,DatasetRegime,CanonicalOriginal,CanonicalOriginal,NQ,89,0.09079880849653259,0.0,1.1621087215623356,8.0810939561914,0.4943820224719101,0.33110371705849945,0.11764660070477853,False,2
CCRRR,Spacing_10,DatasetRegime,122023,2023,NQ,3,2.338881409966555,2.0267260579064588,inf,7.016644229899665,1.0,0.28749040642163093,0.10215007355161886,False,3
CCRRR,Spacing_10,DatasetRegime,092024,2024,NQ,2,2.3745810777766607,2.3745810777766607,inf,4.749162155553321,1.0,0.1945856899006232,0.06913949854135239,False,4
CCRRR,Spacing_10,DatasetRegime,LegacyGenerated,LegacyGenerated,NQ,2,2.3745810777766607,2.3745810777766607,inf,4.749162155553321,1.0,0.1945856899006232,0.06913949854135239,False,4
CCRRR,Spacing_10,DatasetRegime,092022,2022,NQ,2,1.2459194578984467,1.2459194578984467,inf,2.4918389157968934,1.0,0.10209720760631026,0.036276818403129824,False,6
CCRRR,Spacing_10,DatasetRegime,092020,2020,ES,3,0.8214864204957326,1.2119402985074628,2.5576236024984027,2.464459261487198,0.6666666666666666,0.10097539101033177,0.03587821850125147,False,7
CCRRR,Spacing_10,DatasetRegime,092022,2022,ES,2,0.9773655913978495,0.9773655913978495,inf,1.954731182795699,1.0,0.08009048824112988,0.028457468777646554,False,8
CCRRR,Spacing_10,DatasetRegime,062021,2021,ES,2,0.0060287081339713,0.0060287081339713,1.0338345864661656,0.0120574162679426,0.5,0.0004940241217439024,0.0001755349021921886,False,9
CCRRR,Spacing_10,DatasetRegime,122017,2017,ES,6,-0.019898586440239147,-0.0842127479949346,0.9155174120369627,-0.11939151864143488,0.5,-0.004891785174351452,0.0017381317922166395,True,10
CCRRR,Spacing_10,DatasetRegime,122022,2022,ES,2,-0.10465116279069775,-0.10465116279069775,0.8953488372093023,-0.2093023255813955,0.5,-0.008575667894059431,0.0030470759599806807,True,11
CCRRR,Spacing_10,DatasetRegime,062019,2019,ES,3,-0.29434202161474887,0.5384615384615384,0.5584869675778767,-0.8830260648442466,0.6666666666666666,-0.03617990508642278,0.012855315805733276,True,12
CCRRR,Spacing_10,DatasetRegime,092024,2024,ES,3,-0.3042928774036524,-0.4684014869888475,0.24958173648217954,-0.9128786322109572,0.3333333333333333,-0.037403043447694295,0.013289916998596912,True,13
CCRRR,Spacing_10,DatasetRegime,122023,2023,ES,4,-0.24928263988522226,-1.2058823529411764,0.7739837398373984,-0.997130559540889,0.25,-0.040855066955837044,0.014516477772042489,True,14
CCRRR,Spacing_10,DatasetRegime,062016,2016,NQ,2,-0.5082570100042272,-0.5082570100042272,0.0,-1.0165140200084544,0.0,-0.041649258416183846,0.014798667070455159,True,15
CCRRR,Spacing_10,DatasetRegime,062016,2016,ES,4,-0.2570707559339525,-0.328125,0.34807499642192646,-1.02828302373581,0.25,-0.04213146551603043,0.014970003190256669,True,16
CCRRR,Spacing_10,DatasetRegime,062019,2019,NQ,4,-0.33728849786340714,-0.42891583054626525,0.42340723283470705,-1.3491539914536286,0.25,-0.05527839471688814,0.019641323536424907,True,17
CCRRR,Spacing_10,DatasetRegime,062023,2023,NQ,3,-0.5957838389477951,-0.8527498521584861,0.37346363702691454,-1.7873515168433851,0.3333333333333333,-0.0732325021989851,0.026020713453040516,True,18
